eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
168,41.9740,44.6120,1,41.9740,1.79136,-0.07026,-0.21199,0.03394,0.15486,0.40920,0.84387,-0.62157
169,43.3020,38.7910,0,-56.6980,1.37468,0.50000,0.10490,-0.38504,0.73841,0.22015,-0.87693,0.13609
170,44.2380,44.6660,1,44.2380,0.79923,-0.17645,0.39343,-0.96179,0.53292,0.00941,-0.20893,0.12809
171,44.4270,42.7780,0,-55.5730,1.16103,0.21278,-0.35231,-0.67225,0.45833,0.11824,-0.16187,0.26367
172,43.8620,42.8490,0,-56.1380,1.48627,0.22965,0.13522,0.31084,0.48961,0.20796,0.59339,0.74535
173,43.9460,43.9490,1,43.9460,1.24666,0.09438,-0.42491,0.92555,0.73939,0.15561,0.21137,0.04002
174,44.3160,41.4400,0,-55.6840,1.28769,0.34169,-0.38975,-0.38332,0.51466,0.07588,-0.43553,-0.51192
175,42.7540,44.1820,1,42.7540,2.61783,-0.01009,0.98360,-0.86035,0.53386,0.33635,0.76756,-0.06651
176,43.1950,39.0380,0,-56.8050,0.64378,0.42428,0.45883,-0.28017,0.57240,0.18913,0.37388,-0.66888
177,43.8190,41.6150,0,-56.1810,1.29606,0.34168,-0.76816,-0.42948,0.39193,0.23414,-0.73429,0.14442
178,43.5010,43.4560,1,43.5010,0.80399,0.15677,-0.28982,0.78623,0.63691,-0.05426,-0.87762,0.30019
179,43.3400,44.5200,1,43.3400,1.60170,-0.00346,-0.27419,-0.51002,1.20411,0.27067,-0.77023,0.42669
180,44.0300,43.6590,1,44.0300,2.45715,0.12082,0.52199,-0.99068,0.51207,-0.07932,0.66649,-0.18713
181,43.7140,43.8380,1,43.7140,1.49361,0.11309,-0.48260,-0.02742,0.65425,0.21670,0.54434,-0.13864
182,44.1910,42.3550,0,-55.8090,0.72629,0.17955,-0.01610,-0.70703,0.25687,0.11688,0.19910,0.74371
183,43.9220,42.0020,0,-56.0780,1.54912,0.30867,0.04989,0.22477,0.32602,0.18502,-0.62094,0.00828
184,43.5020,42.0310,0,-56.4980,0.76386,0.28091,-0.39111,0.22795,0.83168,0.29015,-0.08563,0.32996
185,43.9930,44.2250,1,43.9930,1.76677,0.05187,0.32585,0.96882,0.77962,-0.02410,0.69489,-0.92061
186,43.4900,44.6280,1,43.4900,1.18031,0.00413,-0.21834,-0.74699,0.16667,0.33645,-0.19533,0.45565
187,43.8270,44.7650,1,43.8270,0.92069,-0.17831,-0.00066,-0.28340,0.57041,0.22007,0.69469,0.06387
188,42.9420,41.0780,0,-57.0580,2.72483,0.35615,-0.11299,0.53474,0.52131,0.22931,0.00523,-0.65069
189,43.0140,44.0690,1,43.0140,0.54353,-0.01432,0.20550,-0.99433,0.25051,-0.15341,-0.25967,0.27523
190,43.7490,42.5920,0,-56.2510,0.85327,0.22946,0.33022,0.32478,0.48331,0.23623,0.36901,-0.49530
191,44.1550,44.4240,1,44.1550,1.83806,-0.00623,0.01949,0.11221,0.53809,0.00570,0.22976,-0.45240
192,43.8630,42.2370,0,-56.1370,1.54701,0.28273,0.28657,0.02219,0.29666,-0.06031,0.08817,0.36035
193,43.0390,44.0290,1,43.0390,2.31690,0.02034,-0.39956,0.51255,0.77236,0.00490,-0.01130,0.66445
194,39.6510,44.9310,1,39.6510,0.74439,-0.12919,-0.06684,-0.46187,1.34109,0.45086,0.65696,-0.86320
195,42.6460,43.0600,0,-57.3540,1.86743,0.20214,0.52587,0.59277,0.22608,0.41725,0.51190,0.21421
196,44.2190,41.7140,0,-55.7810,1.04718,0.29813,0.12161,-0.38077,0.38883,0.10394,-0.22976,-0.63013
197,42.3070,42.1720,0,-57.6930,1.60793,0.31236,-0.79765,0.21415,1.44031,0.27807,0.14442,0.64628
198,43.9240,44.2780,1,43.9240,1.05052,0.05881,-0.30088,-0.42714,0.35056,0.25461,0.21737,-0.01849
199,44.0460,44.6340,1,44.0460,0.50415,-0.03603,0.60306,-0.27561,0.61455,0.20123,0.69117,0.15195
200,43.3270,44.1470,1,43.3270,1.66669,0.05622,-0.49087,0.71399,1.04902,0.08095,-0.24207,0.86511
201,42.9920,43.4390,1,42.9920,1.44774,0.17000,-0.06010,-0.37391,1.40879,-0.05975,0.07737,0.00000
202,41.9760,35.3600,0,-58.0240,0.88833,0.56268,-0.46864,-0.64164,0.46603,0.35332,-0.84246,0.06601
203,43.3250,43.7660,1,43.3250,1.46736,0.13798,0.06938,-0.03421,0.17576,0.34624,0.50973,0.38523
204,43.1180,43.8890,1,43.1180,2.27947,0.08597,0.77857,0.94851,0.89977,0.19807,0.71656,-0.35613
205,43.4160,44.0370,1,43.4160,2.17457,0.03279,-0.04931,0.86221,0.70905,0.16703,-0.22845,-0.48729
206,43.5030,42.0770,0,-56.4970,1.72632,0.30240,-0.31728,-0.13734,0.59147,0.26998,-0.40280,-0.11991
207,43.5210,44.7540,1,43.5210,1.48840,-0.10023,-0.62819,-0.92356,0.12301,0.22335,0.12812,-0.64320
208,42.2830,42.2970,0,-57.7170,2.11926,0.27341,-0.21199,-0.15986,0.15486,0.40920,0.43708,-0.62157
209,43.9840,43.3180,1,43.9840,0.84674,0.11245,0.56778,-0.56960,0.63983,0.16782,-0.03030,0.84748
210,44.0680,43.0360,0,-55.9320,0.79923,0.20046,-0.05371,0.58554,0.43347,0.22595,-0.20893,0.12809
211,43.5340,43.2690,1,43.5340,1.16103,0.16798,-0.14833,-0.67225,0.84530,-0.03558,-0.35870,0.68985
212,42.1950,42.3370,0,-57.8050,2.63624,0.24498,-0.84102,0.14163,1.32531,-0.04731,-0.53519,-0.12483
213,44.1210,42.8670,0,-55.8790,0.76621,0.21876,-0.42491,0.92555,0.73939,0.15875,-0.36837,-0.85811
214,42.9460,39.4190,0,-57.0540,1.99425,0.52889,-0.38975,-0.16064,0.13204,-0.17361,0.55069,-0.51192
215,43.2080,42.3510,0,-56.7920,2.61783,0.24197,-0.08831,0.28853,1.06697,0.06246,-0.35876,-0.69689
216,44.3580,43.6310,1,44.3580,1.52721,0.16120,0.01484,-0.28017,0.33975,0.08444,0.37388,0.51539
